incident_id,incident_type,nearest_station,facility_type,network_time_min,straight_line_time_min,percent_improvement,leg2_hospital,leg2_time_min,total_time_min
0,Medical,"Critical Rescue International, Ikeja",medical,2.814,3.773,-25.4,"Shepherd Medical Centre, Ikeja",2.997,5.811
1,Fire,Alausa Fire Station,fire,3.532,3.242,9.0,N/A,,3.532
2,Medical,"Shepherd Medical Centre, Ikeja",medical,2.225,3.745,-40.6,"Shepherd Medical Centre, Ikeja",2.231,4.456
3,Medical,"Shepherd Medical Centre, Ikeja",medical,4.278,7.045,-39.3,"Shepherd Medical Centre, Ikeja",4.218,8.496
4,Fire,Alausa Fire Station,fire,3.269,3.213,1.7,N/A,,3.269
5,Medical,Lagos State University Teaching Hospital,medical,1.845,2.745,-32.8,Lagos State University Teaching Hospital,2.618,4.463
6,Fire,Alausa Fire Station,fire,1.222,0.922,32.6,N/A,,1.222
7,Fire,Alausa Fire Station,fire,4.17,5.305,-21.4,N/A,,4.17
8,RTA,"Eko Hospital, Ikeja",medical,1.893,2.552,-25.8,Reddington Hospital - Ikeja GRA,2.679,4.572
9,Fire,Ikeja Fire Station,fire,1.338,0.66,102.9,N/A,,1.338
10,RTA,"Shepherd Medical Centre, Ikeja",medical,1.801,2.015,-10.6,"Shepherd Medical Centre, Ikeja",1.74,3.542
11,Fire,Alausa Fire Station,fire,1.307,1.461,-10.5,N/A,,1.307
12,Fire,Ikeja Fire Station,fire,1.535,1.85,-17.0,N/A,,1.535
13,RTA,"Shepherd Medical Centre, Ikeja",medical,4.772,8.559,-44.2,"Shepherd Medical Centre, Ikeja",4.395,9.168
14,RTA,"Shepherd Medical Centre, Ikeja",medical,4.665,8.179,-43.0,"Shepherd Medical Centre, Ikeja",4.407,9.072
15,Fire,Alausa Fire Station,fire,2.842,4.62,-38.5,N/A,,2.842
16,Medical,"Shepherd Medical Centre, Ikeja",medical,0.806,1.257,-35.9,"Shepherd Medical Centre, Ikeja",1.125,1.931
17,RTA,Lagos State University Teaching Hospital,medical,1.461,2.455,-40.5,Lagos State University Teaching Hospital,2.205,3.666
18,Medical,"Shepherd Medical Centre, Ikeja",medical,3.547,7.641,-53.6,"Shepherd Medical Centre, Ikeja",3.551,7.098
19,Medical,"Shepherd Medical Centre, Ikeja",medical,3.818,7.178,-46.8,"Shepherd Medical Centre, Ikeja",3.575,7.393
